identifier,ng_50_1,ng_50_2,ng_50_3,ng_100_1,ng_100_2,ng_100_3
Cre01.g000450.t1.2|PACid:30788617|--321,77.35697186,78.11523225,76.35217327,11.32171631,5.989171287,0
Cre01.g000800.t1.2|PACid:30788536|--66,246.6306033,254.8402128,244.9977338,225.3711177,226.6774815,230.6467832
Cre01.g002050.t1.1|PACid:30789101|--408,60.08851385,43.22154623,69.93231103,132.8331569,113.1827096,117.909112
Cre01.g002300.t1.2|PACid:30788660|--168,90.80186447,74.85426772,55.07086229,96.82057035,90.13508538,76.67195063
Cre01.g002300.t1.2|PACid:30788660|--40,932.045737,1095.657751,925.3519727,1179.071543,1376.831579,1334.625263
Cre01.g002300.t1.2|PACid:30788660|--69,536.7869163,468.5502526,369.0058451,1105.819515,1126.729877,1099.20776
Cre01.g004350.t1.2|PACid:30788641|--148,90.62244338,109.6275325,70.60597851,119.2469487,94.48596579,80.97368639
Cre01.g004500.t1.2|PACid:30789545|--270,3.56267498,0,0,98.99627167,110.5377069,81.03611571
Cre01.g004500.t1.2|PACid:30789545|--355,4376.261655,4311.114652,3952.327102,3901.232573,3643.325009,3697.150269
Cre01.g004500.t1.2|PACid:30789545|--402,270.6253035,123.039486,32.03431927,786.5786731,799.123723,785.1051315
Cre01.g004500.t1.2|PACid:30789545|--444,3738.97013,3520.284162,3303.410854,3171.221511,2972.184254,3338.509352
Cre01.g004500.t1.2|PACid:30789545|--81,0,0,0,734.7766954,675.5534714,661.9499218
Cre01.g004900.t1.2|PACid:30788980|--133,0,19.69991055,13.81648666,121.3054447,134.8364961,85.34166676
Cre01.g004900.t1.2|PACid:30788980|--6-12,408.8320331,381.6824118,347.8972998,454.3119567,436.5864129,466.6560348
Cre01.g004950.t1.1|PACid:30788473|--160,186.647227,165.7533068,191.5738608,205.819089,196.5337495,225.6516258
Cre01.g004950.t1.1|PACid:30788473|--6,131.7645853,113.9889282,113.536674,45.8883906,84.50310428,105.3262569
Cre01.g004950.t1.1|PACid:30788473|--6-9,91.70111496,150.7544442,79.67242358,117.8484163,149.0575765,147.3960119
Cre01.g005050.t1.1|PACid:30788576|--103,937.801122,694.155738,1259.141675,1479.757774,1859.301847,1313.844198
Cre01.g005050.t1.1|PACid:30788576|--151,4082.304375,4107.151741,3731.104984,6486.60033,6503.261067,6584.89757
Cre01.g005050.t1.1|PACid:30788576|--188-196,658.5532766,695.1984565,614.0954221,911.5176961,866.8118695,830.6817471
Cre01.g005050.t1.1|PACid:30788576|--207,4881.039893,4661.256212,4449.819654,3725.08117,3876.076816,4012.781493
Cre01.g005050.t1.1|PACid:30788576|--244,2844.609436,3060.252322,2955.264731,2496.946306,2866.948608,2766.109778
Cre01.g005050.t1.1|PACid:30788576|--304-312,4336.293252,4336.04479,3957.08144,3913.694956,3864.24607,4023.206736
Cre01.g005050.t1.1|PACid:30788576|--332,7658.2278,8160.782575,7286.89852,10373.21616,10471.26363,10374.30039
Cre01.g005050.t1.1|PACid:30788576|--370,2048.721682,1625.528968,1935.126664,1495.146499,1546.303361,1853.451162
Cre01.g005050.t1.1|PACid:30788576|--378,6758.108048,6783.283578,6163.644422,6147.804387,5833.934577,5834.534894
Cre01.g005050.t1.1|PACid:30788576|--403,1806.149714,1562.088678,3021.282073,3293.640817,3770.254127,3509.98671
Cre01.g005050.t1.1|PACid:30788576|--428-436,6.832039071,85.82849457,200.497066,607.0608777,607.5485851,582.535504
Cre01.g005050.t1.1|PACid:30788576|--449,2824.035476,2892.6111,2836.40767,2632.970459,2648.95902,2634.750783
Cre01.g005050.t1.1|PACid:30788576|--463,274.1312002,259.1720434,272.3026667,232.8812109,211.6801471,241.174672
Cre01.g005050.t1.1|PACid:30788576|--488,6500.371154,6849.292502,5867.868463,6241.820669,6017.475535,5607.286659
Cre01.g005050.t1.1|PACid:30788576|--553,7454.378,5516.040065,6028.20526,5458.078178,5933.456602,5502.734685
